15,41,43
24,46,60
9,63,38
21,39,39
73,67,35
29,41,80
38,82,69
61,54,40
70,99,55
67,99,91
42,57,52
93,39,64
39,79,53
89,5,78
32,58,27
27,5,1
100,1,10
6,65,24
42,73,31
66,59,59
79,64,76
98,54,92
34,20,35
97,35,10
85,78,14
28,11,60
27,31,75
43,6,85
44,62,82
59,25,78
39,94,97
72,98,100
62,77,38
26,80,12
91,68,18
27,88,76
49,12,86
37,16,23
81,61,53
70,60,87
99,78,73
73,67,11
96,8,90
23,36,29
53,17,99
68,80,25
44,57,5
34,73,50
18,83,68
23,84,100
79,4,51
28,29,57
98,13,2
66,77,8
6,64,36
76,75,98
23,96,39
48,32,92
63,39,22
55,94,28
45,27,98
76,44,14
43,23,21
21,30,98
21,99,43
8,90,68
8,72,23
73,12,95
18,2,2
97,11,8
6,49,46
16,36,49
13,96,43
16,25,90
6,73,93
30,49,15
43,53,73
15,25,68
14,75,3
4,62,41
70,46,79
31,10,10
45,77,37
44,47,25
27,37,17
42,7,21
70,17,72
45,85,66
82,23,21
15,78,21
36,35,70
4,84,9
82,32,6
32,66,35
5,87,64
11,28,55
59,85,73
23,45,43
24,50,99
84,54,68
26,18,79
30,44,52
96,100,80
100,48,16
100,4,63
66,86,5
61,22,61
6,28,33
18,89,86
71,83,59
72,50,63
54,80,26
68,8,34
24,94,72
3,59,39
59,69,18
33,54,22
64,7,58
10,61,47
43,41,77
25,72,6
1,69,27
27,81,73
7,22,26
65,10,25
29,25,51
68,99,98
86,53,56
34,90,8
52,69,96
29,37,28
56,11,80
12,8,12
5,60,16
56,33,65
10,42,99
8,23,39
31,10,73
8,94,36
65,93,29
45,70,73
96,35,15
99,13,22
42,43,64
3,91,85
81,15,30
82,63,65
32,72,12
47,44,74
22,3,63
39,54,60
29,12,20
70,70,41
95,88,17
72,80,41
43,99,69
13,100,74
75,75,89
41,19,52
5,40,65
46,75,49
100,99,79
59,17,22
89,37,92
91,27,30
70,37,39
16,6,44
15,9,20
10,64,66
88,16,39
41,64,73
92,85,88
47,81,19
87,89,5
64,28,46
46,84,35
48,53,91
88,2,66
60,75,8
99,54,1
99,6,41
31,38,2
15,39,28
34,31,83
91,83,98
71,61,15
63,100,14
1,2,25
55,9,37
26,80,48
34,19,11
3,83,3
4,29,11
57,47,1
100,75,27
95,21,53
95,34,88
92,28,28
100,56,89
24,91,73
13,98,56
25,75,35
13,16,65
71,87,67
76,43,26
19,66,38
58,3,75
20,29,83
30,39,40
